ES_TRACT,ELEMSCH,TRACTID,GISJOIN_TC,POPRATIO
ALPS ROAD ELEMENTARY_G1300590000600,ALPS ROAD ELEMENTARY,13059000600,G1300590000600,0.17
ALPS ROAD ELEMENTARY_G1300590000900,ALPS ROAD ELEMENTARY,13059000900,G1300590000900,0.76
ALPS ROAD ELEMENTARY_G1300590001200,ALPS ROAD ELEMENTARY,13059001200,G1300590001200,0.68
ALPS ROAD ELEMENTARY_G1300590001700,ALPS ROAD ELEMENTARY,13059001700,G1300590001700,0.02
ALPS ROAD ELEMENTARY_G1300590002000,ALPS ROAD ELEMENTARY,13059002000,G1300590002000,0.53
BARNETT SHOALS ELEMENTARY_G1300590150400,BARNETT SHOALS ELEMENTARY,13059150400,G1300590150400,0.59
BARNETT SHOALS ELEMENTARY_G1300590150500,BARNETT SHOALS ELEMENTARY,13059150500,G1300590150500,1
BARNETT SHOALS ELEMENTARY_G1300590150800,BARNETT SHOALS ELEMENTARY,13059150800,G1300590150800,0.29
BARNETT SHOALS ELEMENTARY_G1300590150900,BARNETT SHOALS ELEMENTARY,13059150900,G1300590150900,0.64
BARROW ELEMENTARY_G1300590000100,BARROW ELEMENTARY,13059000100,G1300590000100,0.99
BARROW ELEMENTARY_G1300590000401,BARROW ELEMENTARY,13059000401,G1300590000401,1
BARROW ELEMENTARY_G1300590000402,BARROW ELEMENTARY,13059000402,G1300590000402,1
BARROW ELEMENTARY_G1300590000600,BARROW ELEMENTARY,13059000600,G1300590000600,0.53
BARROW ELEMENTARY_G1300590001200,BARROW ELEMENTARY,13059001200,G1300590001200,0.32
BARROW ELEMENTARY_G1300590001900,BARROW ELEMENTARY,13059001900,G1300590001900,0.27
BARROW ELEMENTARY_G1300590002000,BARROW ELEMENTARY,13059002000,G1300590002000,0.47
BARROW ELEMENTARY_G1300590002100,BARROW ELEMENTARY,13059002100,G1300590002100,1
BARROW ELEMENTARY_G1300590002200,BARROW ELEMENTARY,13059002200,G1300590002200,1
BARROW ELEMENTARY_G1300590030100,BARROW ELEMENTARY,13059030100,G1300590030100,0.01
BARROW ELEMENTARY_G1300590150400,BARROW ELEMENTARY,13059150400,G1300590150400,0.41
CHASE STREET ELEMENTARY_G1300590000600,CHASE STREET ELEMENTARY,13059000600,G1300590000600,0.3
CHASE STREET ELEMENTARY_G1300590000900,CHASE STREET ELEMENTARY,13059000900,G1300590000900,0.23
CHASE STREET ELEMENTARY_G1300590001700,CHASE STREET ELEMENTARY,13059001700,G1300590001700,0.05
CHASE STREET ELEMENTARY_G1300590001800,CHASE STREET ELEMENTARY,13059001800,G1300590001800,1
CHASE STREET ELEMENTARY_G1300590001900,CHASE STREET ELEMENTARY,13059001900,G1300590001900,0.73
CHASE STREET ELEMENTARY_G1300590130300,CHASE STREET ELEMENTARY,13059130300,G1300590130300,0.05
MAXINE PINSON EASOM ELEMENTARY_G1300590150600,Choice Zone-East,13059150600,G1300590150600,0.41
MAXINE PINSON EASOM ELEMENTARY_G1300590150700,Choice Zone-East,13059150700,G1300590150700,0.72
MAXINE PINSON EASOM ELEMENTARY_G1300590150800,Choice Zone-East,13059150800,G1300590150800,0.09
C SCHOOL_G1300590130300,Choice Zone-West,13059130300,G1300590130300,0.95
CLEVELAND ROAD ELEMENTARY_G1300590130500,CLEVELAND ROAD ELEMENTARY,13059130500,G1300590130500,0.56
CLEVELAND ROAD ELEMENTARY_G1300590130600,CLEVELAND ROAD ELEMENTARY,13059130600,G1300590130600,0.26
CLEVELAND ROAD ELEMENTARY_G1300590130700,CLEVELAND ROAD ELEMENTARY,13059130700,G1300590130700,0.24
FOWLER DRIVE ELEMENTARY_G1300590140300,FOWLER DRIVE ELEMENTARY,13059140300,G1300590140300,0.73
FOWLER DRIVE ELEMENTARY_G1300590140400,FOWLER DRIVE ELEMENTARY,13059140400,G1300590140400,0.2
FOWLER DRIVE ELEMENTARY_G1300590140500,FOWLER DRIVE ELEMENTARY,13059140500,G1300590140500,0.01
GAINES ELEMENTARY_G1300590030200,GAINES ELEMENTARY,13059030200,G1300590030200,1
GAINES ELEMENTARY_G1300590150600,GAINES ELEMENTARY,13059150600,G1300590150600,0.59
GAINES ELEMENTARY_G1300590150700,GAINES ELEMENTARY,13059150700,G1300590150700,0.03
HOWARD B STROUD ELEMENTARY_G1300590000100,HOWARD B STROUD ELEMENTARY,13059000100,G1300590000100,0.01
HOWARD B STROUD ELEMENTARY_G1300590030100,HOWARD B STROUD ELEMENTARY,13059030100,G1300590030100,0.99
HOWARD B STROUD ELEMENTARY_G1300590140500,HOWARD B STROUD ELEMENTARY,13059140500,G1300590140500,0.57
JUDIA JACKSON HARRIS ELEMENTARY_G1300590140300,JUDIA JACKSON HARRIS ELEMENTARY,13059140300,G1300590140300,0.27
JUDIA JACKSON HARRIS ELEMENTARY_G1300590140400,JUDIA JACKSON HARRIS ELEMENTARY,13059140400,G1300590140400,0.8
OGLETHORPE AVENUE ELEMENTARY_G1300590000900,OGLETHORPE AVENUE ELEMENTARY,13059000900,G1300590000900,0.01
OGLETHORPE AVENUE ELEMENTARY_G1300590001700,OGLETHORPE AVENUE ELEMENTARY,13059001700,G1300590001700,0.93
OGLETHORPE AVENUE ELEMENTARY_G1300590130500,OGLETHORPE AVENUE ELEMENTARY,13059130500,G1300590130500,0.44
OGLETHORPE AVENUE ELEMENTARY_G1300590130600,OGLETHORPE AVENUE ELEMENTARY,13059130600,G1300590130600,0.28
TIMOTHY ROAD ELEMENTARY_G1300590130600,TIMOTHY ROAD ELEMENTARY,13059130600,G1300590130600,0.46
TIMOTHY ROAD ELEMENTARY_G1300590130700,TIMOTHY ROAD ELEMENTARY,13059130700,G1300590130700,0.76
TIMOTHY ROAD ELEMENTARY_G1300590150300,TIMOTHY ROAD ELEMENTARY,13059150300,G1300590150300,1
WHIT DAVIS ELEMENTARY_G1300590150700,WHIT DAVIS ELEMENTARY,13059150700,G1300590150700,0.25
WHIT DAVIS ELEMENTARY_G1300590150800,WHIT DAVIS ELEMENTARY,13059150800,G1300590150800,0.62
WHIT DAVIS ELEMENTARY_G1300590150900,WHIT DAVIS ELEMENTARY,13059150900,G1300590150900,0.27
WHITEHALL ROAD ELEMENTARY_G1300590130400,WHITEHALL ROAD ELEMENTARY,13059130400,G1300590130400,1
WINTERVILLE ELEMENTARY_G1300590140500,WINTERVILLE ELEMENTARY,13059140500,G1300590140500,0.42
WINTERVILLE ELEMENTARY_G1300590140600,WINTERVILLE ELEMENTARY,13059140600,G1300590140600,1
WINTERVILLE ELEMENTARY_G1300590150900,WINTERVILLE ELEMENTARY,13059150900,G1300590150900,0.09
